"team","teamCode","conference","win","lose","win2","sd","probChamp"
"Atlanta Hawks","ATL","E",17.408,64.592,314.45,3.37809650543023,0
"Boston Celtics","BOS","E",52.051,29.949,2724.515,3.89979473818811,0
"Brooklyn Nets","BRK","E",30.644,51.356,954.316,3.90656677915534,0
"Charlotte Hornets","CHO","E",39.351,42.649,1562.961,3.80260423920239,0
"Chicago Bulls","CHI","E",31.528,50.472,1008.678,3.82925789155027,0
"Cleveland Cavaliers","CLE","E",58.499,23.501,3435.757,3.69107017001843,0
"Dallas Mavericks","DAL","W",42.488,39.512,1820.182,3.86676298730607,0
"Denver Nuggets","DEN","W",52.038,29.962,2722.802,3.85338241029882,0
"Detroit Pistons","DET","E",37.722,44.278,1439.99,4.12804021298242,0
"Golden State Warriors","GSW","W",59.668,22.332,3572.602,3.51166285397673,0
"Houston Rockets","HOU","W",44.676,37.324,2011.46,3.9389115247743,0
"Indiana Pacers","IND","E",42.767,39.233,1845.583,4.07022247549194,0
"Los Angeles Clippers","LAC","W",44.196,37.804,1967.566,3.77883368250048,0
"Los Angeles Lakers","LAL","W",32.325,49.675,1061.659,4.09308868704308,0
"Memphis Grizzlies","MEM","W",45.964,36.036,2128.932,4.03022381512488,0
"Miami Heat","MIA","E",40.201,41.799,1631.403,3.90929648402368,0
"Milwaukee Bucks","MIL","E",42.228,39.772,1797.948,3.83979374446075,0
"Minnesota Timberwolves","MIN","W",36.482,45.518,1347.26,4.04025692252361,0
"New Orleans Pelicans","NOP","W",44.957,37.043,2037.603,4.05846658234363,0
"New York Knicks","NYK","E",37.996,44.004,1459.276,3.94714884441922,0
"Oklahoma City Thunder","OKC","W",37.388,44.612,1415.408,4.18872964035638,0
"Orlando Magic","ORL","E",30.285,51.715,931.935,3.84106430563196,0
"Philadelphia 76ers","PHI","E",20.22,61.78,421.888,3.61103863175126,0
"Phoenix Suns","PHO","W",20.167,61.833,418.949,3.49872991241106,0
"Portland Trail Blazers","POR","W",37.339,44.661,1410.161,3.99500675844237,0
"Sacramento Kings","SAC","W",41.096,40.904,1704.69,3.97602615685565,0
"San Antonio Spurs","SAS","W",55.416,26.584,3084.78,3.72114820989441,0
"Toronto Raptors","TOR","E",54.073,27.927,2938.627,3.83896743929925,0
"Utah Jazz","UTA","W",53.303,28.697,2855.927,3.83629912806609,0
"Washington Wizards","WAS","E",47.524,34.476,2273.53,3.8729089842133,0
