"Player","Season"
"Kareem Abdul-Jabbar","1979-1980"
"Julius Erving","1980-1981"
"Moses Malone","1981-1982"
"Moses Malone","1982-1983"
"Larry Bird","1983-1984"
"Larry Bird","1984-1985"
"Larry Bird","1985-1986"
"Magic Johnson","1986-1987"
"Michael Jordan","1987-1988"
"Magic Johnson","1988-1989"
"Magic Johnson","1989-1990"
"Michael Jordan","1990-1991"
"Michael Jordan","1991-1992"
"Charles Barkley","1992-1993"
"Hakeem Olajuwon","1993-1994"
"David Robinson","1994-1995"
"Michael Jordan","1995-1996"
"Karl Malone","1996-1997"
"Michael Jordan","1997-1998"
"Karl Malone","1998-1999"
"Shaquille O'Neal","1999-2000"
"Allen Iverson","2000-2001"
"Tim Duncan","2001-2002"
"Tim Duncan","2002-2003"
"Kevin Garnett","2003-2004"
"Steve Nash","2004-2005"
"Steve Nash","2005-2006"
"Dirk Nowitzki","2006-2007"
"Kobe Bryant","2007-2008"
"LeBron James","2008-2009"
"LeBron James","2009-2010"
"Derrick Rose","2010-2011"
"LeBron James","2011-2012"
"LeBron James","2012-2013"
"Kevin Durant","2013-2014"
"Stephen Curry","2014-2015"
"Stephen Curry","2015-2016"
"Russell Westbrook","2016-2017"
